  (5 3 | 0 0) -> (18|0) -> (171) =   0.14339605057637
  (3 5 | 0 0) -> (11|0) -> (66) =   0.14339605057637
  (5 3 | 0 0) -> (18|0) -> (171) =   0.14339605057637
  (3 5 | 0 0) -> (11|0) -> (66) =   0.14339605057637
  (0 0 | 5 3) -> (0|18) -> (18) =   0.14339605057637
  (0 0 | 3 5) -> (0|11) -> (11) =   0.14339605057637
  (0 0 | 5 3) -> (0|18) -> (18) =   0.14339605057637
  (0 0 | 3 5) -> (0|11) -> (11) =   0.14339605057637
  (5 0 | 2 0) -> (15|3) -> (123) =   0.00080738515307
  (0 5 | 2 0) -> (5|3) -> (18) =   0.00080738515307
  (5 0 | 0 2) -> (15|2) -> (122) =   0.00080738515307
  (0 5 | 0 2) -> (5|2) -> (17) =   0.00080738515307
  (2 0 | 5 0) -> (3|15) -> (21) =   0.00080738515307
  (2 0 | 0 5) -> (3|5) -> (11) =   0.00080738515307
  (0 2 | 5 0) -> (2|15) -> (18) =   0.00080738515307
  (0 2 | 0 5) -> (2|5) -> (8) =   0.00080738515307
  (5 0 | 3 0) -> (15|6) -> (126) =   0.00063079841515
  (0 5 | 3 0) -> (5|6) -> (21) =   0.00063079841515
  (5 0 | 0 3) -> (15|3) -> (123) =   0.00063079841515
  (0 5 | 0 3) -> (5|3) -> (18) =   0.00063079841515
  (3 0 | 5 0) -> (6|15) -> (36) =   0.00063079841515
  (3 0 | 0 5) -> (6|5) -> (26) =   0.00063079841515
  (0 3 | 5 0) -> (3|15) -> (21) =   0.00063079841515
  (0 3 | 0 5) -> (3|5) -> (11) =   0.00063079841515
  (5 2 | 1 0) -> (17|1) -> (154) =   0.04319773764922
  (2 5 | 1 0) -> (8|1) -> (37) =   0.04319773764922
  (5 2 | 0 1) -> (17|1) -> (154) =   0.04319773764922
  (2 5 | 0 1) -> (8|1) -> (37) =   0.04319773764922
  (1 0 | 5 2) -> (1|17) -> (18) =   0.04319773764922
  (1 0 | 2 5) -> (1|8) -> (9) =   0.04319773764922
  (0 1 | 5 2) -> (1|17) -> (18) =   0.04319773764922
  (0 1 | 2 5) -> (1|8) -> (9) =   0.04319773764922
  (5 3 | 1 0) -> (18|1) -> (172) =   0.03374977152294
  (3 5 | 1 0) -> (11|1) -> (67) =   0.03374977152294
  (5 3 | 0 1) -> (18|1) -> (172) =   0.03374977152294
  (3 5 | 0 1) -> (11|1) -> (67) =   0.03374977152294
  (1 0 | 5 3) -> (1|18) -> (19) =   0.03374977152294
  (1 0 | 3 5) -> (1|11) -> (12) =   0.03374977152294
  (0 1 | 5 3) -> (1|18) -> (19) =   0.03374977152294
  (0 1 | 3 5) -> (1|11) -> (12) =   0.03374977152294
  (5 1 | 2 0) -> (16|3) -> (139) =   0.00431716334798
  (1 5 | 2 0) -> (6|3) -> (24) =   0.00431716334798
  (5 1 | 0 2) -> (16|2) -> (138) =   0.00431716334798
  (1 5 | 0 2) -> (6|2) -> (23) =   0.00431716334798
  (2 0 | 5 1) -> (3|16) -> (22) =   0.00431716334798
  (2 0 | 1 5) -> (3|6) -> (12) =   0.00431716334798
  (0 2 | 5 1) -> (2|16) -> (19) =   0.00431716334798
  (0 2 | 1 5) -> (2|6) -> (9) =   0.00431716334798
  (5 1 | 3 0) -> (16|6) -> (142) =   0.00337293767106
  (1 5 | 3 0) -> (6|6) -> (27) =   0.00337293767106
  (5 1 | 0 3) -> (16|3) -> (139) =   0.00337293767106
  (1 5 | 0 3) -> (6|3) -> (24) =   0.00337293767106
  (3 0 | 5 1) -> (6|16) -> (37) =   0.00337293767106
  (3 0 | 1 5) -> (6|6) -> (27) =   0.00337293767106
  (0 3 | 5 1) -> (3|16) -> (22) =   0.00337293767106
  (0 3 | 1 5) -> (3|6) -> (12) =   0.00337293767106
  (5 0 | 2 1) -> (15|4) -> (124) =   0.00151911302779
  (0 5 | 2 1) -> (5|4) -> (19) =   0.00151911302779
  (5 0 | 1 2) -> (15|3) -> (123) =   0.00151911302779
  (0 5 | 1 2) -> (5|3) -> (18) =   0.00151911302779
  (2 1 | 5 0) -> (4|15) -> (25) =   0.00151911302779
  (2 1 | 0 5) -> (4|5) -> (15) =   0.00151911302779
  (1 2 | 5 0) -> (3|15) -> (21) =   0.00151911302779
  (1 2 | 0 5) -> (3|5) -> (11) =   0.00151911302779
  (5 0 | 3 1) -> (15|7) -> (127) =   0.00118686117365
  (0 5 | 3 1) -> (5|7) -> (22) =   0.00118686117365
  (5 0 | 1 3) -> (15|4) -> (124) =   0.00118686117365
  (0 5 | 1 3) -> (5|4) -> (19) =   0.00118686117365
  (3 1 | 5 0) -> (7|15) -> (43) =   0.00118686117365
  (3 1 | 0 5) -> (7|5) -> (33) =   0.00118686117365
  (1 3 | 5 0) -> (4|15) -> (25) =   0.00118686117365
  (1 3 | 0 5) -> (4|5) -> (15) =   0.00118686117365
  (5 2 | 1 1) -> (17|2) -> (155) =   0.16391045416555
  (2 5 | 1 1) -> (8|2) -> (38) =   0.16391045416555
  (5 2 | 1 1) -> (17|2) -> (155) =   0.16391045416555
  (2 5 | 1 1) -> (8|2) -> (38) =   0.16391045416555
  (1 1 | 5 2) -> (2|17) -> (20) =   0.16391045416555
  (1 1 | 2 5) -> (2|8) -> (11) =   0.16391045416555
  (1 1 | 5 2) -> (2|17) -> (20) =   0.16391045416555
  (1 1 | 2 5) -> (2|8) -> (11) =   0.16391045416555
  (5 3 | 1 1) -> (18|2) -> (173) =   0.12806088187373
  (3 5 | 1 1) -> (11|2) -> (68) =   0.12806088187373
  (5 3 | 1 1) -> (18|2) -> (173) =   0.12806088187373
  (3 5 | 1 1) -> (11|2) -> (68) =   0.12806088187373
  (1 1 | 5 3) -> (2|18) -> (21) =   0.12806088187373
  (1 1 | 3 5) -> (2|11) -> (14) =   0.12806088187373
  (1 1 | 5 3) -> (2|18) -> (21) =   0.12806088187373
  (1 1 | 3 5) -> (2|11) -> (14) =   0.12806088187373
  (5 1 | 2 1) -> (16|4) -> (140) =   0.03377459090726
  (1 5 | 2 1) -> (6|4) -> (25) =   0.03377459090726
  (5 1 | 1 2) -> (16|3) -> (139) =   0.03377459090726
